Year,RWI,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,January,February,March,April,May.1,June,July,August,September,October,November,December,p.Jan,p.Feb,p.Mar,p.Apr,p.May,p.Jun,p.Jul,p.Aug,p.Sep,p.Oct,p.Nov,p.Dec,p.January,p.February,p.March,p.April,p.May.1,p.June,p.July,p.August,p.September,p.October,p.November,p.December
1956,0.908,-14.8,-13.9,-5.7,-5.8,3,7.9,12.3,8.8,4.4,-1.1,-8.5,-11.4,29,17,12,2,8,41,28,38,18,17,10,4,-11,-15.2,-10.4,-4.9,0.4,5.5,10.4,9.9,6.1,-1.3,-6.9,-18.4,7,20,29,16,40,12,8,24,60,12,25,37
1957,0.948,-8.6,-13.8,-8.3,-1,1.6,6.2,13.2,9.1,5.1,0,-2,-8.2,34,11,7,1,17,7,39,94,13,19,14,37,-14.8,-13.9,-5.7,-5.8,3,7.9,12.3,8.8,4.4,-1.1,-8.5,-11.4,29,17,12,2,8,41,28,38,18,17,10,4
1958,0.883,-15.2,-11.8,-10.3,-3.3,1.5,7.8,9.9,11.5,6,1.4,-1.3,-11.7,27,27,10,5,7,16,48,55,57,31,69,8,-8.6,-13.8,-8.3,-1,1.6,6.2,13.2,9.1,5.1,0,-2,-8.2,34,11,7,1,17,7,39,94,13,19,14,37
1959,0.524,-11.6,-1.2,-1.8,-3.3,2.8,8.2,10.6,10.2,4.9,0.9,-4.4,-8.5,30,22,9,16,11,8,52,11,18,39,6,4,-15.2,-11.8,-10.3,-3.3,1.5,7.8,9.9,11.5,6,1.4,-1.3,-11.7,27,27,10,5,7,16,48,55,57,31,69,8
1960,1.097,-10.9,-14.2,-4.8,-0.2,5,8.7,14.4,11.5,6.5,-2,-7.7,-9.4,9,19,12,10,10,33,44,72,25,5,5,15,-11.6,-1.2,-1.8,-3.3,2.8,8.2,10.6,10.2,4.9,0.9,-4.4,-8.5,30,22,9,16,11,8,52,11,18,39,6,4
1961,1.45,-11.5,-7.6,-5.4,-5.6,2.3,9,12.5,10.4,6.3,3.2,-3.5,-12.4,14,40,20,5,15,74,66,35,17,13,39,12,-10.9,-14.2,-4.8,-0.2,5,8.7,14.4,11.5,6.5,-2,-7.7,-9.4,9,19,12,10,10,33,44,72,25,5,5,15
1962,0.973,-10.9,-9.1,-14,-1.2,2.4,6.9,9.6,9,5.3,1.6,-3.8,-11.8,13,13,4,18,16,18,11,21,39,62,19,42,-11.5,-7.6,-5.4,-5.6,2.3,9,12.5,10.4,6.3,3.2,-3.5,-12.4,14,40,20,5,15,74,66,35,17,13,39,12
1963,0.926,-9.1,-12.2,-9.5,-1.5,6.9,7.2,9.2,10.8,7.5,1.4,-5.8,-6.3,18,19,9,11,9,12,76,36,34,21,16,28,-10.9,-9.1,-14,-1.2,2.4,6.9,9.6,9,5.3,1.6,-3.8,-11.8,13,13,4,18,16,18,11,21,39,62,19,42
1964,1.1,-3.4,-11.4,-7.5,-3.8,3.2,6.7,10.7,9.1,3.8,3.4,-5.4,-6.7,73,12,7,12,13,2,23,67,19,19,44,11,-9.1,-12.2,-9.5,-1.5,6.9,7.2,9.2,10.8,7.5,1.4,-5.8,-6.3,18,19,9,11,9,12,76,36,34,21,16,28
1965,0.581,-12.3,-7.4,-9,-2.3,-0.3,7.5,8.6,9.2,6.5,1,-7.3,-13.6,21,26,59,28,12,12,25,36,10,28,1,49,-3.4,-11.4,-7.5,-3.8,3.2,6.7,10.7,9.1,3.8,3.4,-5.4,-6.7,73,12,7,12,13,2,23,67,19,19,44,11
1966,1.319,-15.8,-19,-12.6,-6.1,1.6,9.8,11.4,8.8,2.4,-2,-2.7,-9.5,22,10,37,8,18,18,66,14,21,32,9,1,-12.3,-7.4,-9,-2.3,-0.3,7.5,8.6,9.2,6.5,1,-7.3,-13.6,21,26,59,28,12,12,25,36,10,28,1,49
1967,0.673,-13.7,-10.7,-4,-2.5,3.2,7.3,9.5,10.6,7.5,-0.4,-0.9,-12.8,19,10,14,13,4,17,62,44,8,31,16,24,-15.8,-19,-12.6,-6.1,1.6,9.8,11.4,8.8,2.4,-2,-2.7,-9.5,22,10,37,8,18,18,66,14,21,32,9,1
1968,0.479,-17.4,-12.1,-7.4,-2.1,-0.3,7.2,9,7.9,4.6,-5.1,-2.9,-3.9,21,30,40,14,5,33,15,38,11,31,19,24,-13.7,-10.7,-4,-2.5,3.2,7.3,9.5,10.6,7.5,-0.4,-0.9,-12.8,19,10,14,13,4,17,62,44,8,31,16,24
1969,0.905,-14,-17.2,-8,-3.5,1.3,9.6,11.5,12.5,5.1,1.3,-5.9,-10.1,6,3,13,13,4,10,69,36,18,55,11,8,-17.4,-12.1,-7.4,-2.1,-0.3,7.2,9,7.9,4.6,-5.1,-2.9,-3.9,21,30,40,14,5,33,15,38,11,31,19,24
1970,1.02,-12,-15.7,-7.3,-6,3.4,10.3,12.1,10.6,5.4,1,-7,-5.2,12,13,1,6,6,33,68,33,18,17,12,23,-14,-17.2,-8,-3.5,1.3,9.6,11.5,12.5,5.1,1.3,-5.9,-10.1,6,3,13,13,4,10,69,36,18,55,11,8
1971,0.975,-9.5,-12.2,-12,-4.5,2.1,9.3,9.4,9.8,4.9,-0.2,-7.6,-5.8,36,12,7,7,1,17,47,66,15,43,20,28,-12,-15.7,-7.3,-6,3.4,10.3,12.1,10.6,5.4,1,-7,-5.2,12,13,1,6,6,33,68,33,18,17,12,23
1972,1.34,-10,-10.9,-6.6,-2.4,3,11.2,13.1,10.7,5,0.5,-5.9,-3.3,1,11,18,7,10,35,56,51,65,24,50,42,-9.5,-12.2,-12,-4.5,2.1,9.3,9.4,9.8,4.9,-0.2,-7.6,-5.8,36,12,7,7,1,17,47,66,15,43,20,28
1973,1.517,-7.6,-11,-5.2,-4,2.6,8.7,14,8.3,3.2,-2.2,-6.9,-13.6,39,12,28,15,8,20,42,44,11,24,26,32,-10,-10.9,-6.6,-2.4,3,11.2,13.1,10.7,5,0.5,-5.9,-3.3,1,11,18,7,10,35,56,51,65,24,50,42
1974,1.293,-8.5,-7.9,-5,-0.1,3.8,10,11.6,10.2,7,-1.2,-6.2,-7.2,14,19,2,14,4,20,68,36,26,5,4,9,-7.6,-11,-5.2,-4,2.6,8.7,14,8.3,3.2,-2.2,-6.9,-13.6,39,12,28,15,8,20,42,44,11,24,26,32
1975,0.713,-11,-3.2,-4.8,-2.8,3.2,5.6,8.8,8.1,5.7,1.1,-2.9,-7.6,38,38,13,5,45,15,15,31,21,59,15,69,-8.5,-7.9,-5,-0.1,3.8,10,11.6,10.2,7,-1.2,-6.2,-7.2,14,19,2,14,4,20,68,36,26,5,4,9
1976,0.68,-16.8,-7,-8.8,-2.8,4.7,7.7,10.2,9.7,3.2,-2.6,-6.2,-10.9,23,22,8,7,5,6,44,11,10,13,31,10,-11,-3.2,-4.8,-2.8,3.2,5.6,8.8,8.1,5.7,1.1,-2.9,-7.6,38,38,13,5,45,15,15,31,21,59,15,69
1977,0.919,-14.4,-12.9,-6.6,-5.8,1.7,6.3,10.7,10.2,4.3,-0.3,-3.7,-7.2,14,10,39,12,11,21,46,40,18,37,20,23,-16.8,-7,-8.8,-2.8,4.7,7.7,10.2,9.7,3.2,-2.6,-6.2,-10.9,23,22,8,7,5,6,44,11,10,13,31,10
1978,0.832,-14.9,-12.7,-9.3,-3.7,3,9.8,11.9,9.3,4.1,-0.9,-3.7,-13.9,45,18,5,14,5,10,61,76,25,32,40,10,-14.4,-12.9,-6.6,-5.8,1.7,6.3,10.7,10.2,4.3,-0.3,-3.7,-7.2,14,10,39,12,11,21,46,40,18,37,20,23
1979,1.202,-15,-11.5,-7.1,-2.7,3.1,8.9,12.6,10.4,5.2,-1.5,-4.6,-6.5,12,20,3,7,29,28,56,61,30,18,8,15,-14.9,-12.7,-9.3,-3.7,3,9.8,11.9,9.3,4.1,-0.9,-3.7,-13.9,45,18,5,14,5,10,61,76,25,32,40,10
1980,1.41,-12.2,-14.4,-8.8,0.1,3.7,10.8,13.3,11.1,6.3,-0.7,-7,-12.2,26,3,9,9,19,59,28,71,17,16,28,16,-15,-11.5,-7.1,-2.7,3.1,8.9,12.6,10.4,5.2,-1.5,-4.6,-6.5,12,20,3,7,29,28,56,61,30,18,8,15
1981,1.048,-11.9,-14.1,-12.4,-1.7,4.4,5,10.7,9.3,5,-0.3,-6,-13.4,74,8,20,14,5,32,113,65,39,19,4,25,-12.2,-14.4,-8.8,0.1,3.7,10.8,13.3,11.1,6.3,-0.7,-7,-12.2,26,3,9,9,19,59,28,71,17,16,28,16
1982,0.952,-10.7,-6.1,-6.2,-1.5,2.7,5.1,10.5,9.5,4.4,0.8,-3.7,-5.8,31,21,19,22,24,7,52,56,29,13,26,31,-11.9,-14.1,-12.4,-1.7,4.4,5,10.7,9.3,5,-0.3,-6,-13.4,74,8,20,14,5,32,113,65,39,19,4,25
1983,0.688,-9.2,-8.5,-8,-1.1,4.8,7.5,10.4,7.4,6.5,-0.3,-6.6,-10.8,13,26,15,3,10,12,119,108,28,22,64,55,-10.7,-6.1,-6.2,-1.5,2.7,5.1,10.5,9.5,4.4,0.8,-3.7,-5.8,31,21,19,22,24,7,52,56,29,13,26,31
1984,0.569,-14.2,-6.6,-8.3,-1.1,6.5,9,9.6,9.1,4.4,-0.1,-6,-5.9,17,11,5,10,17,35,86,26,20,12,6,5,-9.2,-8.5,-8,-1.1,4.8,7.5,10.4,7.4,6.5,-0.3,-6.6,-10.8,13,26,15,3,10,12,119,108,28,22,64,55
1985,0.773,-14.1,-19.4,-7.3,-4.9,2,8.7,12.6,10.5,5.3,1.6,-5.8,-13,27,12,13,5,10,22,53,38,35,85,10,10,-14.2,-6.6,-8.3,-1.1,6.5,9,9.6,9.1,4.4,-0.1,-6,-5.9,17,11,5,10,17,35,86,26,20,12,6,5
1986,1.236,-15.5,-8.7,-4.2,-3.1,5,10.2,11.6,8.5,3.3,1.9,-2.4,-14.8,8,19,19,23,29,11,35,14,24,29,19,3,-14.1,-19.4,-7.3,-4.9,2,8.7,12.6,10.5,5.3,1.6,-5.8,-13,27,12,13,5,10,22,53,38,35,85,10,10
1987,0.986,-13.8,-11.8,-10.5,-2.9,2.6,7.9,9.8,7.7,5.1,4.6,-7.1,-9.4,24,27,3,17,27,32,25,44,14,16,24,48,-15.5,-8.7,-4.2,-3.1,5,10.2,11.6,8.5,3.3,1.9,-2.4,-14.8,8,19,19,23,29,11,35,14,24,29,19,3
1988,1.211,-12.3,-13.4,-12.2,-4.5,3.4,9.2,13.5,9.9,6.5,0.9,-5.7,-8,15,8,5,23,2,12,52,42,40,20,36,37,-13.8,-11.8,-10.5,-2.9,2.6,7.9,9.8,7.7,5.1,4.6,-7.1,-9.4,24,27,3,17,27,32,25,44,14,16,24,48
1989,1.175,-5.5,-7.4,-4.3,0.3,3.8,9.3,9.2,11,6.3,-1,-2.4,-8.3,44,52,7,17,20,14,81,47,31,17,28,71,-12.3,-13.4,-12.2,-4.5,3.4,9.2,13.5,9.9,6.5,0.9,-5.7,-8,15,8,5,23,2,12,52,42,40,20,36,37
1990,1.001,-10.9,-4,-4.8,-0.1,3.2,9.8,12.2,11.5,6.1,2,-5.3,-2.6,19,34,18,6,15,32,54,51,10,22,31,17,-5.5,-7.4,-4.3,0.3,3.8,9.3,9.2,11,6.3,-1,-2.4,-8.3,44,52,7,17,20,14,81,47,31,17,28,71
1991,1.097,-6.8,-15.5,-7.9,-0.8,2.5,9.4,10.9,11.1,3.9,1.2,-4.2,-2.6,23,2,23,2,10,44,30,25,28,30,50,38,-10.9,-4,-4.8,-0.1,3.2,9.8,12.2,11.5,6.1,2,-5.3,-2.6,19,34,18,6,15,32,54,51,10,22,31,17
1992,1.118,-4.5,-5.1,-4.3,-3.7,4.5,10.2,9.5,8.8,6.9,-3.8,-7.6,-3.7,45,37,15,11,18,25,89,20,18,23,18,84,-6.8,-15.5,-7.9,-0.8,2.5,9.4,10.9,11.1,3.9,1.2,-4.2,-2.6,23,2,23,2,10,44,30,25,28,30,50,38
1993,1.13,-6.1,-6.2,-6.9,-3.4,2.9,6.2,12.4,9.8,3.8,-1.7,-3.7,-11.7,38,38,75,3,29,28,56,76,8,26,4,26,-4.5,-5.1,-4.3,-3.7,4.5,10.2,9.5,8.8,6.9,-3.8,-7.6,-3.7,45,37,15,11,18,25,89,20,18,23,18,84
1994,1.01,-14.6,-10.7,-6.9,0.5,2.5,7.5,11.2,10.5,4.9,0.1,-3.8,-4.2,25,12,10,7,9,17,29,28,13,22,17,25,-6.1,-6.2,-6.9,-3.4,2.9,6.2,12.4,9.8,3.8,-1.7,-3.7,-11.7,38,38,75,3,29,28,56,76,8,26,4,26
1995,0.668,-7.8,-8.9,-4.5,-3.2,2.1,8.4,10,8.9,5.7,0.1,-5.5,-10.1,8,15,14,7,25,29,22,66,5,73,37,23,-14.6,-10.7,-6.9,0.5,2.5,7.5,11.2,10.5,4.9,0.1,-3.8,-4.2,25,12,10,7,9,17,29,28,13,22,17,25
1996,0.52,-7,-13.9,-5.9,-2.6,1,7.7,11.2,12.1,5.4,1.5,-6.1,-8.6,27,10,9,24,16,50,26,49,8,25,26,12,-7.8,-8.9,-4.5,-3.2,2.1,8.4,10,8.9,5.7,0.1,-5.5,-10.1,8,15,14,7,25,29,22,66,5,73,37,23
1997,0.865,-7.1,-9.4,-6,-4.7,2.7,9.8,13.3,11.6,7.4,-0.2,-6.9,-6.1,86,16,39,19,14,4,48,25,21,23,8,38,-7,-13.9,-5.9,-2.6,1,7.7,11.2,12.1,5.4,1.5,-6.1,-8.6,27,10,9,24,16,50,26,49,8,25,26,12
1998,1.365,-8.3,-12.7,-9,-3.2,2.6,8.6,13,9.9,5,0,-9.5,-8.6,22,67,8,4,19,27,60,61,24,39,11,23,-7.1,-9.4,-6,-4.7,2.7,9.8,13.3,11.6,7.4,-0.2,-6.9,-6.1,86,16,39,19,14,4,48,25,21,23,8,38
1999,1.061,-13.7,-12.3,-6.6,-0.5,2.6,10.3,10.8,8.3,8,2.2,-0.4,-8.5,12,8,1,17,18,54,94,26,36,36,61,9,-8.3,-12.7,-9,-3.2,2.6,8.6,13,9.9,5,0,-9.5,-8.6,22,67,8,4,19,27,60,61,24,39,11,23
2000,0.897,-5.6,-8.8,-5.1,-2.4,4.3,7.7,12,10,6.4,3.9,-3.8,-7.5,31,33,24,17,32,50,47,62,23,25,3,12,-13.7,-12.3,-6.6,-0.5,2.6,10.3,10.8,8.3,8,2.2,-0.4,-8.5,12,8,1,17,18,54,94,26,36,36,61,9
2001,0.752,-7.4,-12.2,-11.8,-2.7,3.5,10.3,10.9,10.5,7.9,1.5,-3.1,-7.5,15,23,4,12,22,61,90,63,22,23,32,10,-5.6,-8.8,-5.1,-2.4,4.3,7.7,12,10,6.4,3.9,-3.8,-7.5,31,33,24,17,32,50,47,62,23,25,3,12
